,fid,text_title,event_id,start_page_event,page_event_number,text_place_title,character_id,family_name,given_name,page_first_mentioned,number,religion,relig_att_char,country_of_birth,place_name,location_religion,relig_att_loc,geolocation,location_name,location_country,author_birth_location,country_of_birth_author,text_place_id,location_id,author_id,author_birth_place_id,full_name,event_order,initial_country,final_country,initial_place,final_place,has_changed,has_immigrated
437,438,Tamas,2601,130,1,Sayedpur in Tamas,2597.0,White soldier,Pilot,129.0,Single,Unknown,,,Sayedpur,Sikh|Muslim,,CREATED,Saidpur Village,Pakistan,Rawalpindi,Pakistan,2423,3064,32,33,White soldier Pilot,130.01,Pakistan,Pakistan,Saidpur Village,Saidpur Village,False,False
438,439,Tamas,2601,130,1,Sayedpur in Tamas,2594.0,Sheik's house,People in,129.0,Group,Muslim,Nominal,,Sayedpur,Sikh|Muslim,,CREATED,Saidpur Village,Pakistan,Rawalpindi,Pakistan,2423,3064,32,33,Sheik's house People in,130.01,Pakistan,Pakistan,Saidpur Village,Saidpur Village,False,False
441,442,Tamas,2648,86,3,Ratta in Tamas,2649.0,"Sikh carpenters, dead",Unknown,86.0,Group,Sikh,Other-identified.Narrator other-attributed,,Ratta,Unaffiliated,,CREATED,Rawalpindi,Pakistan,Rawalpindi,Pakistan,2650,33,32,33,"Sikh carpenters, dead Unknown",86.03,Pakistan,Pakistan,Rawalpindi,Rawalpindi,False,False
442,443,Tamas,2685,58,1,Shivala Bazaar in Tamas,133.0,Bakhsh,Khuda,58.0,Single,Muslim,Nominal,,Shivala Bazaar,Unaffiliated,,CREATED,Shivala Bazaar,India,Rawalpindi,Pakistan,2412,1065,32,33,Bakhsh Khuda,58.01,India,India,Shivala Bazaar,Shivala Bazaar,False,False
443,444,Tamas,2685,58,1,Shivala Bazaar in Tamas,1638.0,Sardar Hakim Singh's wife,Unknown,58.0,Single,Sikh,Nominal,,Shivala Bazaar,Unaffiliated,,CREATED,Shivala Bazaar,India,Rawalpindi,Pakistan,2412,1065,32,33,Sardar Hakim Singh's wife Unknown,58.01,India,India,Shivala Bazaar,Shivala Bazaar,False,False
444,445,Tamas,2714,59,1,Shivala Bazaar in Tamas,1639.0,Gurkha Chowkidar,Rambali,59.0,Single,Hindu,,,Shivala Bazaar,Unaffiliated,,CREATED,Shivala Bazaar,India,Rawalpindi,Pakistan,2412,1065,32,33,Gurkha Chowkidar Rambali,59.01,India,India,Shivala Bazaar,Shivala Bazaar,False,False
445,446,Tamas,2714,59,1,Shivala Bazaar in Tamas,133.0,Bakhsh,Khuda,58.0,Single,Muslim,Nominal,,Shivala Bazaar,Unaffiliated,,CREATED,Shivala Bazaar,India,Rawalpindi,Pakistan,2412,1065,32,33,Bakhsh Khuda,59.01,India,India,Shivala Bazaar,Shivala Bazaar,False,False
446,447,Tamas,2716,60,1,Fazal Din's Naan Shop in Tamas,659.0,Khan,Karim,60.0,Single,Muslim,Nominal,,Fazal Din's Naan Shop,Unaffiliated,,CREATED,Shivala Road,India,Rawalpindi,Pakistan,2416,3063,32,33,Khan Karim,60.01,India,India,Shivala Road,Muridpur,False,False
447,448,Tamas,2716,60,1,Fazal Din's Naan Shop in Tamas,1644.0,Unknown,Jilani,60.0,Single,Muslim,Nominal,,Fazal Din's Naan Shop,Unaffiliated,,CREATED,Shivala Road,India,Rawalpindi,Pakistan,2416,3063,32,33,Unknown Jilani,60.01,India,India,Shivala Road,Shivala Road,False,False
448,449,Tamas,2716,60,1,Fazal Din's Naan Shop in Tamas,1658.0,Men sitting at Naan Shop,Unknown,62.0,Group.Male-dominant,Unknown,,,Fazal Din's Naan Shop,Unaffiliated,,CREATED,Shivala Road,India,Rawalpindi,Pakistan,2416,3063,32,33,Men sitting at Naan Shop Unknown,60.01,India,India,Shivala Road,Shivala Road,False,False
449,450,Tamas,2717,62,1,Fazal Din's Naan Shop in Tamas,1653.0,Congress Announcer,Shankar,62.0,Single,Hindu,Nominal,,Fazal Din's Naan Shop,Unaffiliated,,CREATED,Shivala Road,India,Rawalpindi,Pakistan,2416,3063,32,33,Congress Announcer Shankar,62.01,India,India,Shivala Road,Shivala Road,False,False
450,451,Tamas,2718,63,1,Fazal Din's Naan Shop in Tamas,1657.0,Sahab,Pir,64.0,Single,Muslim,Definitional,,Fazal Din's Naan Shop,Unaffiliated,,CREATED,Shivala Road,India,Rawalpindi,Pakistan,2416,3063,32,33,Sahab Pir,63.01,India,India,Shivala Road,Shivala Road,False,False
451,452,Tamas,2718,63,1,Fazal Din's Naan Shop in Tamas,1257.0,Naanbai,Unknown,63.0,Group,Muslim,Other-identified.Narrator other-attributed,,Fazal Din's Naan Shop,Unaffiliated,,CREATED,Shivala Road,India,Rawalpindi,Pakistan,2416,3063,32,33,Naanbai Unknown,63.01,India,India,Shivala Road,Shivala Road,False,False
452,453,Tamas,2718,63,1,Fazal Din's Naan Shop in Tamas,1658.0,Men sitting at Naan Shop,Unknown,62.0,Group.Male-dominant,Unknown,,,Fazal Din's Naan Shop,Unaffiliated,,CREATED,Shivala Road,India,Rawalpindi,Pakistan,2416,3063,32,33,Men sitting at Naan Shop Unknown,63.01,India,India,Shivala Road,Shivala Road,False,False
453,454,Tamas,2726,131,4,Congress Run Relief in Tamas,2727.0,Stream of,Villagerss,131.0,Group,Unknown,,,Congress Run Relief,Unaffiliated,,CREATED,Rawalpindi,Pakistan,Rawalpindi,Pakistan,2728,33,32,33,Stream of Villagerss,131.04,Pakistan,Pakistan,Rawalpindi,Rawalpindi,False,False
454,455,Tamas,2726,131,4,Congress Run Relief in Tamas,167.0,Deputy Commissioner,Richard,27.0,Single,Christian,Speculation,,Congress Run Relief,Unaffiliated,,CREATED,Rawalpindi,Pakistan,Rawalpindi,Pakistan,2728,33,32,33,Deputy Commissioner Richard,131.04,Pakistan,Pakistan,Hindu Kush,Rawalpindi,False,False
455,456,Tamas,2726,131,4,Congress Run Relief in Tamas,2540.0,Professor,Raghunath,49.0,Single,Hindu,Nominal,,Congress Run Relief,Unaffiliated,,CREATED,Rawalpindi,Pakistan,Rawalpindi,Pakistan,2728,33,32,33,Professor Raghunath,131.04,Pakistan,Pakistan,Rawalpindi,Rawalpindi,False,False
456,457,Tamas,2733,132,1,Sayedpur in Tamas,2734.0,Unknown Dead by drowning,Women,132.0,Group.Female-dominant,Unknown,,,Sayedpur,Sikh|Muslim,,CREATED,Saidpur Village,Pakistan,Rawalpindi,Pakistan,2423,3064,32,33,Unknown Dead by drowning Women,132.01,Pakistan,Pakistan,Saidpur Village,Saidpur Village,False,False
457,458,Tamas,2733,132,1,Sayedpur in Tamas,2743.0,Unknown Dead,Children,132.0,Group,Unknown,,,Sayedpur,Sikh|Muslim,,CREATED,Saidpur Village,Pakistan,Rawalpindi,Pakistan,2423,3064,32,33,Unknown Dead Children,132.01,Pakistan,Pakistan,Saidpur Village,Saidpur Village,False,False
458,459,Tamas,2758,64,1,Bara Bazaar in Tamas,1265.0,Fakir,Unknown,23.0,Single,Muslim,Definitional,,Bara Bazaar,,,CREATED,Raja Bazaar,Pakistan,Rawalpindi,Pakistan,617,872,32,33,Fakir Unknown,64.01,Pakistan,Pakistan,Raja Bazaar,Raja Bazaar,False,False
459,460,Tamas,2758,64,1,Bara Bazaar in Tamas,185.0,Servant to Murad Ali,Nathu,13.0,Single,Unknown,,,Bara Bazaar,,,CREATED,Raja Bazaar,Pakistan,Rawalpindi,Pakistan,617,872,32,33,Servant to Murad Ali Nathu,64.01,India,Pakistan,Imam Din Gali,Raja Bazaar,True,True
460,461,Tamas,2781,65,2,Bara Bazaar in Tamas,1647.0,Ali,Murad,61.0,Single,Muslim,Nominal,,Bara Bazaar,,,CREATED,Raja Bazaar,Pakistan,Rawalpindi,Pakistan,617,872,32,33,Ali Murad,65.02,Pakistan,Pakistan,Raja Bazaar,Raja Bazaar,False,False
461,462,Tamas,2781,65,2,Bara Bazaar in Tamas,185.0,Servant to Murad Ali,Nathu,13.0,Single,Unknown,,,Bara Bazaar,,,CREATED,Raja Bazaar,Pakistan,Rawalpindi,Pakistan,617,872,32,33,Servant to Murad Ali Nathu,65.02,India,Pakistan,Imam Din Gali,Raja Bazaar,True,True
462,463,Sunlight on a Broken Column,2785,124,1,College in Sunlight on a Broken Column,431.0,Chatterjee,Nita,123.0,Single,Hindu,Nominal,,College,Unaffiliated,Speculation,CREATED,Lucknow University,India,Lucknow,India,2788,22,21,5819,Chatterjee Nita,124.01,India,India,Lucknow University,Hostel,False,False
463,464,Sunlight on a Broken Column,2785,124,1,College in Sunlight on a Broken Column,434.0,Davis,Joan,126.0,Single,Christian,Nominal,,College,Unaffiliated,Speculation,CREATED,Lucknow University,India,Lucknow,India,2788,22,21,5819,Davis Joan,124.01,India,India,Lucknow University,Hostel,False,False
464,465,Sunlight on a Broken Column,2785,124,1,College in Sunlight on a Broken Column,433.0,Waheed,Nadira,125.0,Single,Muslim,Nominal,,College,Unaffiliated,Speculation,CREATED,Lucknow University,India,Lucknow,India,2788,22,21,5819,Waheed Nadira,124.01,India,India,Lucknow University,Lucknow University,False,False
465,466,Sunlight on a Broken Column,2785,124,1,College in Sunlight on a Broken Column,317.0,Hasan,Laila,14.0,Single,Muslim,,,College,Unaffiliated,Speculation,CREATED,Lucknow University,India,Lucknow,India,2788,22,21,5819,Hasan Laila,124.01,India,India,Lucknow University,Hasanpur,False,False
467,468,Pinjar,2815,1,1,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114,35,36,Sahukars Pooro,1.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
468,469,Pinjar,2816,1,2,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114,35,36,Sahukars Pooro,1.02,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
469,470,Pinjar,2817,1,3,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114,35,36,Sahukars Pooro,1.03,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
470,471,Pinjar,2818,1,4,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114,35,36,Sahukars Pooro,1.04,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
471,472,Pinjar,2819,2,1,"Pooro's home, Chatto village in Pinjar",248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,"Pooro's home, Chatto village",Hindu,Speculation,CREATED,Chatto Village: Pooro's Home,Pakistan,Mandi Bahauddin,Pakistan,338,3112,35,36,Sahukars Pooro,2.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
472,473,Pinjar,2820,3,1,Neighbouring Market in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Neighbouring Market,,,CREATED,Chatto Village: Neighborhood Market,Pakistan,Mandi Bahauddin,Pakistan,2821,3109,35,36,Sahukars Pooro,3.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
473,474,Pinjar,2822,3,2,Neighbouring Market in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Neighbouring Market,,,CREATED,Chatto Village: Neighborhood Market,Pakistan,Mandi Bahauddin,Pakistan,2821,3109,35,36,Sahukars Pooro,3.02,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
474,475,Pinjar,2823,3,3,Field in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Field,Unknown,,CREATED,Chatto Village: Field,Pakistan,Mandi Bahauddin,Pakistan,2824,3110,35,36,Sahukars Pooro,3.03,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
475,476,Pinjar,2825,5,1,Field in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Field,Unknown,,CREATED,Chatto Village: Field,Pakistan,Mandi Bahauddin,Pakistan,2824,3110,35,36,Sahukars Pooro,5.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
476,477,Pinjar,2825,5,1,Field in Pinjar,297.0,Shaikh,Rashida,4.0,Single,Muslim,Other-identified.Narrator other-attributed,,Field,Unknown,,CREATED,Chatto Village: Field,Pakistan,Mandi Bahauddin,Pakistan,2824,3110,35,36,Shaikh Rashida,5.01,Pakistan,Pakistan,Chatto Village: Field,Lahore,False,False
477,478,Pinjar,2826,6,1,Field in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Field,Unknown,,CREATED,Chatto Village: Field,Pakistan,Mandi Bahauddin,Pakistan,2824,3110,35,36,Sahukars Pooro,6.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
478,479,Pinjar,2826,6,1,Field in Pinjar,297.0,Shaikh,Rashida,4.0,Single,Muslim,Other-identified.Narrator other-attributed,,Field,Unknown,,CREATED,Chatto Village: Field,Pakistan,Mandi Bahauddin,Pakistan,2824,3110,35,36,Shaikh Rashida,6.01,Pakistan,Pakistan,Chatto Village: Field,Lahore,False,False
479,480,Pinjar,2827,7,1,Pooro's courtyard in her home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Pooro's courtyard in her home,Hindu,Speculation,CREATED,Chatto Village: Pooro's Home,Pakistan,Mandi Bahauddin,Pakistan,2829,3112,35,36,Sahukars Pooro,7.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
480,481,Pinjar,2827,7,1,Pooro's courtyard in her home in Pinjar,2434.0,Sahukar,Pooro's Mother,2.0,Single,Hindu,Other-identified,,Pooro's courtyard in her home,Hindu,Speculation,CREATED,Chatto Village: Pooro's Home,Pakistan,Mandi Bahauddin,Pakistan,2829,3112,35,36,Sahukar Pooro's Mother,7.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Chatto Village: Refugee Camp,False,False
481,482,Pinjar,2830,7,2,Field in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Field,Unknown,,CREATED,Chatto Village: Field,Pakistan,Mandi Bahauddin,Pakistan,2824,3110,35,36,Sahukars Pooro,7.02,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
482,483,Pinjar,2830,7,2,Field in Pinjar,297.0,Shaikh,Rashida,4.0,Single,Muslim,Other-identified.Narrator other-attributed,,Field,Unknown,,CREATED,Chatto Village: Field,Pakistan,Mandi Bahauddin,Pakistan,2824,3110,35,36,Shaikh Rashida,7.02,Pakistan,Pakistan,Chatto Village: Field,Lahore,False,False
483,484,Pinjar,2831,8,1,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114,35,36,Sahukars Pooro,8.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
484,485,Pinjar,2832,8,2,Field in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Field,Unknown,,CREATED,Chatto Village: Field,Pakistan,Mandi Bahauddin,Pakistan,2824,3110,35,36,Sahukars Pooro,8.02,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
485,486,Pinjar,2832,8,2,Field in Pinjar,297.0,Shaikh,Rashida,4.0,Single,Muslim,Other-identified.Narrator other-attributed,,Field,Unknown,,CREATED,Chatto Village: Field,Pakistan,Mandi Bahauddin,Pakistan,2824,3110,35,36,Shaikh Rashida,8.02,Pakistan,Pakistan,Chatto Village: Field,Lahore,False,False
486,487,Pinjar,2836,8,3,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114,35,36,Sahukars Pooro,8.03,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
487,488,Pinjar,2836,8,3,Rashida's home in Pinjar,297.0,Shaikh,Rashida,4.0,Single,Muslim,Other-identified.Narrator other-attributed,,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114,35,36,Shaikh Rashida,8.03,Pakistan,Pakistan,Chatto Village: Field,Lahore,False,False
488,489,Pinjar,2837,8,4,Rashida's home in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114,35,36,Sahukars Pooro,8.04,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
489,490,Pinjar,2837,8,4,Rashida's home in Pinjar,297.0,Shaikh,Rashida,4.0,Single,Muslim,Other-identified.Narrator other-attributed,,Rashida's home,Muslim,Speculation,CREATED,Sakar Village: Rashid's Home,Pakistan,Mandi Bahauddin,Pakistan,334,3114,35,36,Shaikh Rashida,8.04,Pakistan,Pakistan,Chatto Village: Field,Lahore,False,False
490,491,Sunlight on a Broken Column,2856,291,1,Hasanpur in Sunlight on a Broken Column,325.0,Agarwal,Sita,16.0,Single,Hindu,Speculation,India,Hasanpur,,,CREATED,Hasanpur,India,Lucknow,India,2147,1453,21,5819,Agarwal Sita,291.01,India,India,Hasanpur,Hasanpur,False,False
491,492,Sunlight on a Broken Column,2862,292,1,Hasanpur in Sunlight on a Broken Column,344.0,Unknown,Nandi,26.0,Single,Hindu,,India,Hasanpur,,,CREATED,Hasanpur,India,Lucknow,India,2147,1453,21,5819,Unknown Nandi,292.01,India,India,Hasanpur,Hasanpur,False,False
492,493,Sunlight on a Broken Column,2862,292,1,Hasanpur in Sunlight on a Broken Column,317.0,Hasan,Laila,14.0,Single,Muslim,,,Hasanpur,,,CREATED,Hasanpur,India,Lucknow,India,2147,1453,21,5819,Hasan Laila,292.01,India,India,Lucknow University,Hasanpur,False,False
496,497,Pinjar,2893,55,1,Neighbouring Village to Sakkar in Pinjar,569.0,Neighbouring Village Hindus,Unknown,55.0,Group,Hindu,Definitional,Pakistan,Neighbouring Village to Sakkar,Hindu|Muslim,,FALSE,Sakkar: Neighbouring Village,Pakistan,Mandi Bahauddin,Pakistan,2894,3117,35,36,Neighbouring Village Hindus Unknown,55.01,Pakistan,Pakistan,Sakkar: Neighbouring Village,Sakkar: Neighbouring Village,False,False
497,498,Pinjar,2895,55,3,"Pooro's home, Chatto village in Pinjar",571.0,Hindus of Chatto,Unkown,55.0,Group,Hindu,Definitional,Pakistan,"Pooro's home, Chatto village",Hindu,Speculation,CREATED,Chatto Village: Pooro's Home,Pakistan,Mandi Bahauddin,Pakistan,338,3112,35,36,Hindus of Chatto Unkown,55.03,Pakistan,Pakistan,Chatto Village: Pooro's Home,Chatto Village: Pooro's Home,False,False
498,499,Pinjar,2896,55,4,"Pooro's home, Chatto village in Pinjar",570.0,Muslims of Chatto,Unknown,55.0,Group,Muslim,Definitional,Pakistan,"Pooro's home, Chatto village",Hindu,Speculation,CREATED,Chatto Village: Pooro's Home,Pakistan,Mandi Bahauddin,Pakistan,338,3112,35,36,Muslims of Chatto Unknown,55.04,Pakistan,Pakistan,Chatto Village: Pooro's Home,Chatto Village: Pooro's Home,False,False
499,500,Pinjar,2897,55,2,Neighbouring Village to Sakkar in Pinjar,569.0,Neighbouring Village Hindus,Unknown,55.0,Group,Hindu,Definitional,Pakistan,Neighbouring Village to Sakkar,Hindu|Muslim,,FALSE,Sakkar: Neighbouring Village,Pakistan,Mandi Bahauddin,Pakistan,2894,3117,35,36,Neighbouring Village Hindus Unknown,55.02,Pakistan,Pakistan,Sakkar: Neighbouring Village,Sakkar: Neighbouring Village,False,False
500,501,Pinjar,2898,55,5,"Pooro's home, Chatto village in Pinjar",570.0,Muslims of Chatto,Unknown,55.0,Group,Muslim,Definitional,Pakistan,"Pooro's home, Chatto village",Hindu,Speculation,CREATED,Chatto Village: Pooro's Home,Pakistan,Mandi Bahauddin,Pakistan,338,3112,35,36,Muslims of Chatto Unknown,55.05,Pakistan,Pakistan,Chatto Village: Pooro's Home,Chatto Village: Pooro's Home,False,False
501,502,Pinjar,2898,55,5,"Pooro's home, Chatto village in Pinjar",571.0,Hindus of Chatto,Unkown,55.0,Group,Hindu,Definitional,Pakistan,"Pooro's home, Chatto village",Hindu,Speculation,CREATED,Chatto Village: Pooro's Home,Pakistan,Mandi Bahauddin,Pakistan,338,3112,35,36,Hindus of Chatto Unkown,55.05,Pakistan,Pakistan,Chatto Village: Pooro's Home,Chatto Village: Pooro's Home,False,False
502,503,Pinjar,2899,55,7,"Pooro's home, Chatto village in Pinjar",572.0,Indian Soldiers,Unkown,55.0,Group.Male-dominant,Unknown,,India,"Pooro's home, Chatto village",Hindu,Speculation,CREATED,Chatto Village: Pooro's Home,Pakistan,Mandi Bahauddin,Pakistan,338,3112,35,36,Indian Soldiers Unkown,55.07,Pakistan,Pakistan,Chatto Village: Pooro's Home,Chatto Village: Pooro's Home,False,False
503,504,Pinjar,2900,55,8,"Pooro's home, Chatto village in Pinjar",572.0,Indian Soldiers,Unkown,55.0,Group.Male-dominant,Unknown,,India,"Pooro's home, Chatto village",Hindu,Speculation,CREATED,Chatto Village: Pooro's Home,Pakistan,Mandi Bahauddin,Pakistan,338,3112,35,36,Indian Soldiers Unkown,55.08,Pakistan,Pakistan,Chatto Village: Pooro's Home,Chatto Village: Pooro's Home,False,False
504,505,Pinjar,2906,56,6,"Pooro's home, Chatto village in Pinjar",575.0,Strangers,Unknown,56.0,Group,Unknown,,,"Pooro's home, Chatto village",Hindu,Speculation,CREATED,Chatto Village: Pooro's Home,Pakistan,Mandi Bahauddin,Pakistan,338,3112,35,36,Strangers Unknown,56.06,Pakistan,Pakistan,Chatto Village: Pooro's Home,Chatto Village: Pooro's Home,False,False
505,506,Pinjar,2907,56,7,Refugee Encampment outside Chatto in Pinjar,578.0,Refugees from Rattoval,Unkown,56.0,Group,Unknown,,Pakistan,Refugee Encampment outside Chatto,,,CREATED,Chatto Village: Refugee Camp,Pakistan,Mandi Bahauddin,Pakistan,2912,3118,35,36,Refugees from Rattoval Unkown,56.07,Pakistan,Pakistan,Chatto Village: Refugee Camp,Chatto Village: Refugee Camp,False,False
506,507,Pinjar,2907,56,7,Refugee Encampment outside Chatto in Pinjar,577.0,Police Constables,Unknown,56.0,Group,Unknown,,,Refugee Encampment outside Chatto,,,CREATED,Chatto Village: Refugee Camp,Pakistan,Mandi Bahauddin,Pakistan,2912,3118,35,36,Police Constables Unknown,56.07,Pakistan,Pakistan,Chatto Village: Refugee Camp,Chatto Village: Refugee Camp,False,False
507,508,Pinjar,2908,57,1,Refugee Encampment outside Chatto in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Refugee Encampment outside Chatto,,,CREATED,Chatto Village: Refugee Camp,Pakistan,Mandi Bahauddin,Pakistan,2912,3118,35,36,Sahukars Pooro,57.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
508,509,Pinjar,2908,57,1,Refugee Encampment outside Chatto in Pinjar,282.0,Chand,Ram,2.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Refugee Encampment outside Chatto,,,CREATED,Chatto Village: Refugee Camp,Pakistan,Mandi Bahauddin,Pakistan,2912,3118,35,36,Chand Ram,57.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Rattoval Village,False,False
509,510,Pinjar,2914,57,3,Refugee Encampment outside Chatto in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Refugee Encampment outside Chatto,,,CREATED,Chatto Village: Refugee Camp,Pakistan,Mandi Bahauddin,Pakistan,2912,3118,35,36,Sahukars Pooro,57.03,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
510,511,Pinjar,2914,57,3,Refugee Encampment outside Chatto in Pinjar,574.0,Young Refugee Girl,Unknown,56.0,Single,Unknown,,Pakistan,Refugee Encampment outside Chatto,,,CREATED,Chatto Village: Refugee Camp,Pakistan,Mandi Bahauddin,Pakistan,2912,3118,35,36,Young Refugee Girl Unknown,57.03,Pakistan,Pakistan,Chatto Village: Pooro's Home,Chatto Village: Refugee Camp,False,False
511,512,Pinjar,2914,57,3,Refugee Encampment outside Chatto in Pinjar,282.0,Chand,Ram,2.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Refugee Encampment outside Chatto,,,CREATED,Chatto Village: Refugee Camp,Pakistan,Mandi Bahauddin,Pakistan,2912,3118,35,36,Chand Ram,57.03,Pakistan,Pakistan,Sakar Village: Rashid's Home,Rattoval Village,False,False
512,513,Pinjar,2915,58,1,Refugee Encampment outside Chatto in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Refugee Encampment outside Chatto,,,CREATED,Chatto Village: Refugee Camp,Pakistan,Mandi Bahauddin,Pakistan,2912,3118,35,36,Sahukars Pooro,58.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
513,514,Pinjar,2915,58,1,Refugee Encampment outside Chatto in Pinjar,282.0,Chand,Ram,2.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Refugee Encampment outside Chatto,,,CREATED,Chatto Village: Refugee Camp,Pakistan,Mandi Bahauddin,Pakistan,2912,3118,35,36,Chand Ram,58.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Rattoval Village,False,False
514,515,Pinjar,2916,59,1,Refugee Encampment outside Chatto in Pinjar,574.0,Young Refugee Girl,Unknown,56.0,Single,Unknown,,Pakistan,Refugee Encampment outside Chatto,,,CREATED,Chatto Village: Refugee Camp,Pakistan,Mandi Bahauddin,Pakistan,2912,3118,35,36,Young Refugee Girl Unknown,59.01,Pakistan,Pakistan,Chatto Village: Pooro's Home,Chatto Village: Refugee Camp,False,False
515,516,Pinjar,2916,59,1,Refugee Encampment outside Chatto in Pinjar,248.0,Sahukars,Pooro,1.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Refugee Encampment outside Chatto,,,CREATED,Chatto Village: Refugee Camp,Pakistan,Mandi Bahauddin,Pakistan,2912,3118,35,36,Sahukars Pooro,59.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Lahore,False,False
516,517,Pinjar,2916,59,1,Refugee Encampment outside Chatto in Pinjar,282.0,Chand,Ram,2.0,Single,Hindu,Other-identified.Narrator other-attributed,Pakistan,Refugee Encampment outside Chatto,,,CREATED,Chatto Village: Refugee Camp,Pakistan,Mandi Bahauddin,Pakistan,2912,3118,35,36,Chand Ram,59.01,Pakistan,Pakistan,Sakar Village: Rashid's Home,Rattoval Village,False,False
