fid,author_name,text_title,event_id,start_page_event,end_page_event,page_event_number,line,text_place_title,temporality,narrative_status,interaction,specific_interaction,violence,harmony,conflict,character_id,family_name,given_name,nickname,page_first_mentioned,gender,number,religion,relig_att_char,religious_conversion,vitality,cause_of_death,non-human,country_of_birth,presentmentioned,char_story_title,place_name,location_modality,location_religion,relig_att_loc,geolocation,ontology,location_name,mentioned,location_country,collection_id,collection_recordtitle,author_birth_location,gender_author,country_of_birth_author,birth_date,text_place_id,location_id,author_id,author_birth_place_id
"130","Sahni, Bhisham",Tamas,"981","37","37","3","Right at that moment, a man came running from the direction of the Committee Park",Imam Din Mohalla in Tamas,NA,NA,NA,NA,NA,NA,NA,"816",The singing group,Unknown,NA,"35",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"The singing group, Unknown in Tamas",Imam Din Mohalla,Public,Muslim,Speculation,CREATED,NA,Imam Din Gali,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"817","879","32","33"
"131","Sahni, Bhisham",Tamas,"986","38","38","1","Please, gentlemen, get away from here. If you know what’s best for you, leave right away.",Imam Din Mohalla in Tamas,NA,NA,NA,NA,NA,NA,Religion,"816",The singing group,Unknown,NA,"35",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"The singing group, Unknown in Tamas",Imam Din Mohalla,Public,Muslim,Speculation,CREATED,NA,Imam Din Gali,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"817","879","32","33"
"132","Sahni, Bhisham",Tamas,"986","38","38","1","Please, gentlemen, get away from here. If you know what’s best for you, leave right away.",Imam Din Mohalla in Tamas,NA,NA,NA,NA,NA,NA,Religion,"988",Man who returns from mosque,Man who goes to mosque,NA,"37",Male,Single,Muslim,Other-identified.Narrator other-attributed,NA,NA,NA,NA,NA,Present,"Man who returns from mosque, Man who goes to mosque in Tamas",Imam Din Mohalla,Public,Muslim,Speculation,CREATED,NA,Imam Din Gali,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"817","879","32","33"
"133","Sahni, Bhisham",Tamas,"989","38","38","2","Just then, a stone came flying through the air and fell near Bakhshi",Imam Din Mohalla in Tamas,NA,NA,NA,NA,NA,NA,Religion,"816",The singing group,Unknown,NA,"35",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"The singing group, Unknown in Tamas",Imam Din Mohalla,Public,Muslim,Speculation,CREATED,NA,Imam Din Gali,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"817","879","32","33"
"134","Sahni, Bhisham",Tamas,"989","38","38","2","Just then, a stone came flying through the air and fell near Bakhshi",Imam Din Mohalla in Tamas,NA,NA,NA,NA,NA,NA,Religion,"820",Congress Committee Member (part of singing group),Bakshi,NA,"35",Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), Bakshi in Tamas",Imam Din Mohalla,Public,Muslim,Speculation,CREATED,NA,Imam Din Gali,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"817","879","32","33"
"135","Sahni, Bhisham",Tamas,"990","38","38","3",The Congress group set out quietly,Imam Din Mohalla in Tamas,NA,NA,NA,NA,NA,NA,NA,"816",The singing group,Unknown,NA,"35",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"The singing group, Unknown in Tamas",Imam Din Mohalla,Public,Muslim,Speculation,CREATED,NA,Imam Din Gali,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"817","879","32","33"
"136","Sahni, Bhisham",Tamas,"992","39","39","2",Look at the steps leading up to the door of the mosque,Kelon ka Masjid in Tamas,NA,NA,NA,NA,NA,NA,Religion,"816",The singing group,Unknown,NA,"35",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"The singing group, Unknown in Tamas",Kelon ka Masjid,Liminal,Muslim,Definitional,CREATED,NA,Masjid Sherwanikot,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"837","870","32","33"
"137","Sahni, Bhisham",Tamas,"993","39","39","4",A Muslim passed quickly by on the street and the moment,Kelon ka Masjid in Tamas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Present,NA,Kelon ka Masjid,Liminal,Muslim,Definitional,CREATED,NA,Masjid Sherwanikot,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"837","870","32","33"
"138","Sahni, Bhisham",Tamas,"994","39","39","5",Let’s get that pig carcass out of here,Kelon ka Masjid in Tamas,NA,NA,NA,NA,NA,Religion,NA,"820",Congress Committee Member (part of singing group),Bakshi,NA,"35",Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), Bakshi in Tamas",Kelon ka Masjid,Liminal,Muslim,Definitional,CREATED,NA,Masjid Sherwanikot,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"837","870","32","33"
"139","Sahni, Bhisham",Tamas,"994","39","39","5",Let’s get that pig carcass out of here,Kelon ka Masjid in Tamas,NA,NA,NA,NA,NA,Religion,NA,"816",The singing group,Unknown,NA,"35",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"The singing group, Unknown in Tamas",Kelon ka Masjid,Liminal,Muslim,Definitional,CREATED,NA,Masjid Sherwanikot,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"837","870","32","33"
"140","Sahni, Bhisham",Tamas,"995","40","40","1",It was a black pig. Someone had covered it with a sack,Kelon ka Masjid in Tamas,NA,NA,NA,NA,NA,NA,NA,"820",Congress Committee Member (part of singing group),Bakshi,NA,"35",Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), Bakshi in Tamas",Kelon ka Masjid,Liminal,Muslim,Definitional,CREATED,NA,Masjid Sherwanikot,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"837","870","32","33"
"141","Sahni, Bhisham",Tamas,"995","40","40","1",It was a black pig. Someone had covered it with a sack,Kelon ka Masjid in Tamas,NA,NA,NA,NA,NA,NA,NA,"628",Congress Committee Member (part of singing group),The General,NA,"18",Male,Single,Sikh,NA,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), The General in Tamas",Kelon ka Masjid,Liminal,Muslim,Definitional,CREATED,NA,Masjid Sherwanikot,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"837","870","32","33"
"142","Sahni, Bhisham",Tamas,"996","40","40","2",Then came the sound of running footsteps from the direction of the well,Kelon ka Masjid in Tamas,NA,NA,NA,NA,NA,NA,NA,"997",Man with turban,Man guiding cow,NA,"40",Male,Single,Muslim,Speculation,NA,NA,NA,NA,NA,Present,"Man with turban, Man guiding cow in Tamas",Kelon ka Masjid,Liminal,Muslim,Definitional,CREATED,NA,Masjid Sherwanikot,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"837","870","32","33"
"143","Sahni, Bhisham",Tamas,"996","40","40","2",Then came the sound of running footsteps from the direction of the well,Kelon ka Masjid in Tamas,NA,NA,NA,NA,NA,NA,NA,"816",The singing group,Unknown,NA,"35",Unknown,Group,Unknown,NA,NA,NA,NA,NA,NA,Present,"The singing group, Unknown in Tamas",Kelon ka Masjid,Liminal,Muslim,Definitional,CREATED,NA,Masjid Sherwanikot,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"837","870","32","33"
"144","Sahni, Bhisham",Tamas,"1024","141","142","2",Across the veranda to one side of the courtyard,Arya School in Tamas,NA,Narrated,NA,NA,NA,NA,Religion|Caste,"1025",Chaprasi's Pandit,Unknown,NA,"141",Male,Single,Hindu,Nominal,NA,NA,NA,NA,NA,Present,"Chaprasi's Pandit, Unknown in Tamas",Arya School,Public,NA,NA,CREATED,NA,Rawalpindi,NA,Pakistan,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"632","33","32","33"
"145","Sahni, Bhisham",Tamas,"1024","141","142","2",Across the veranda to one side of the courtyard,Arya School in Tamas,NA,Narrated,NA,NA,NA,NA,Religion|Caste,"1026",Chaprasi's Pandit's wife,Unknown,NA,"141",Female,Single,Hindu,Nominal,NA,NA,NA,NA,NA,Present,"Chaprasi's Pandit's wife, Unknown in Tamas",Arya School,Public,NA,NA,CREATED,NA,Rawalpindi,NA,Pakistan,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"632","33","32","33"
"146","Sahni, Bhisham",Tamas,"1118","17","19","1",The clock at Sheikh's Garden struck four.,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"618",Congress Committee secretary,Bakhshi,NA,"17",Male,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,"Congress Committee secretary, Bakhshi in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"147","Sahni, Bhisham",Tamas,"1118","17","19","1",The clock at Sheikh's Garden struck four.,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"619","Ahmad, Congress Committee Member",Aziz,NA,"17",Male,Single,Muslim,Definitional,NA,NA,NA,NA,NA,Present,"Ahmad, Congress Committee Member, Aziz in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"148","Sahni, Bhisham",Tamas,"1118","17","19","1",The clock at Sheikh's Garden struck four.,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"622",Congress Committee Member (part of singing group),Mehta Ji,NA,"17",Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), Mehta Ji in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"149","Sahni, Bhisham",Tamas,"1118","17","19","1",The clock at Sheikh's Garden struck four.,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"626",Congress Committee Member (part of singing group),Kashmiri Lal,NA,"17",Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), Kashmiri Lal in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"150","Sahni, Bhisham",Tamas,"1118","17","19","1",The clock at Sheikh's Garden struck four.,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"628",Congress Committee Member (part of singing group),The General,NA,"18",Male,Single,Sikh,NA,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), The General in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"151","Sahni, Bhisham",Tamas,"1118","17","19","1",The clock at Sheikh's Garden struck four.,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"625",Head of the District Congress Committee,Shankar Lal,NA,"17",Male,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,"Head of the District Congress Committee, Shankar Lal in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"152","Sahni, Bhisham",Tamas,"1129","22","22","1",Gosain ji told me last night,Imam Din Mohalla in Tamas,NA,NA,NA,NA,NA,NA,NA,"955","Part of singing group, went for cleaning the drains",Gosain Ji,NA,"22",Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Part of singing group, went for cleaning the drains, Gosain Ji in Tamas",Imam Din Mohalla,Public,Muslim,Speculation,CREATED,NA,Imam Din Gali,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"817","879","32","33"
"153","Sahni, Bhisham",Tamas,"1129","22","22","1",Gosain ji told me last night,Imam Din Mohalla in Tamas,NA,NA,NA,NA,NA,NA,NA,"620",Congress Committee Member (part of singing group),Master Ramdas,NA,"17",Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), Master Ramdas in Tamas",Imam Din Mohalla,Public,Muslim,Speculation,CREATED,NA,Imam Din Gali,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"817","879","32","33"
"154","Sahni, Bhisham",Tamas,"1129","22","22","1",Gosain ji told me last night,Imam Din Mohalla in Tamas,NA,NA,NA,NA,NA,NA,NA,"956","Part of singing group, went for cleaning the drains",Sher Khan,NA,"22",Male,Single,Muslim,Speculation,NA,NA,NA,NA,NA,Present,"Part of singing group, went for cleaning the drains, Sher Khan in Tamas",Imam Din Mohalla,Public,Muslim,Speculation,CREATED,NA,Imam Din Gali,TRUE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"817","879","32","33"
"155","Sahni, Bhisham",Tamas,"1132","20","22","1",Bakhshi was getting upset,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"618",Congress Committee secretary,Bakhshi,NA,"17",Male,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,"Congress Committee secretary, Bakhshi in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"156","Sahni, Bhisham",Tamas,"1132","20","22","1",Bakhshi was getting upset,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"619","Ahmad, Congress Committee Member",Aziz,NA,"17",Male,Single,Muslim,Definitional,NA,NA,NA,NA,NA,Present,"Ahmad, Congress Committee Member, Aziz in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"157","Sahni, Bhisham",Tamas,"1132","20","22","1",Bakhshi was getting upset,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"622",Congress Committee Member (part of singing group),Mehta Ji,NA,"17",Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), Mehta Ji in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"158","Sahni, Bhisham",Tamas,"1132","20","22","1",Bakhshi was getting upset,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"626",Congress Committee Member (part of singing group),Kashmiri Lal,NA,"17",Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), Kashmiri Lal in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"159","Sahni, Bhisham",Tamas,"1132","20","22","1",Bakhshi was getting upset,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"628",Congress Committee Member (part of singing group),The General,NA,"18",Male,Single,Sikh,NA,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), The General in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"160","Sahni, Bhisham",Tamas,"1132","20","22","1",Bakhshi was getting upset,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"625",Head of the District Congress Committee,Shankar Lal,NA,"17",Male,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,"Head of the District Congress Committee, Shankar Lal in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"161","Sahni, Bhisham",Tamas,"1132","20","22","1",Bakhshi was getting upset,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"620",Congress Committee Member (part of singing group),Master Ramdas,NA,"17",Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), Master Ramdas in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"162","Sahni, Bhisham",Tamas,"1135","22","22","2",We're cleaing the drains in that mohalla?,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"618",Congress Committee secretary,Bakhshi,NA,"17",Male,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,"Congress Committee secretary, Bakhshi in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"163","Sahni, Bhisham",Tamas,"1135","22","22","2",We're cleaing the drains in that mohalla?,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"619","Ahmad, Congress Committee Member",Aziz,NA,"17",Male,Single,Muslim,Definitional,NA,NA,NA,NA,NA,Present,"Ahmad, Congress Committee Member, Aziz in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"164","Sahni, Bhisham",Tamas,"1135","22","22","2",We're cleaing the drains in that mohalla?,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"622",Congress Committee Member (part of singing group),Mehta Ji,NA,"17",Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), Mehta Ji in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"165","Sahni, Bhisham",Tamas,"1135","22","22","2",We're cleaing the drains in that mohalla?,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"626",Congress Committee Member (part of singing group),Kashmiri Lal,NA,"17",Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), Kashmiri Lal in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"166","Sahni, Bhisham",Tamas,"1135","22","22","2",We're cleaing the drains in that mohalla?,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"628",Congress Committee Member (part of singing group),The General,NA,"18",Male,Single,Sikh,NA,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), The General in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"167","Sahni, Bhisham",Tamas,"1135","22","22","2",We're cleaing the drains in that mohalla?,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"625",Head of the District Congress Committee,Shankar Lal,NA,"17",Male,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,"Head of the District Congress Committee, Shankar Lal in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"168","Sahni, Bhisham",Tamas,"1135","22","22","2",We're cleaing the drains in that mohalla?,Congress Committee Office in Tamas,NA,NA,NA,NA,NA,NA,NA,"620",Congress Committee Member (part of singing group),Master Ramdas,NA,"17",Male,Single,Hindu,Speculation,NA,NA,NA,NA,NA,Present,"Congress Committee Member (part of singing group), Master Ramdas in Tamas",Congress Committee Office,Public,Unknown,NA,CREATED,NA,Bara Bazaar,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"612","2580","32","33"
"169","Sahni, Bhisham",Tamas,"1181","114","115","1","When Harnam Singh knocked again, a woman called out","Ehsan Ali's home, Muridpur in Tamas",NA,NA,NA,NA,NA,NA,Religion,"141",Singh,Harnam,NA,"99",Male,Single,Sikh,Nominal,NA,NA,NA,NA,NA,Present,"Singh, Harnam in Tamas","Ehsan Ali's home, Muridpur",Private,Muslim,Nominal,CREATED,NA,Muridpur,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"1294","1527","32","33"
"170","Sahni, Bhisham",Tamas,"1181","114","115","1","When Harnam Singh knocked again, a woman called out","Ehsan Ali's home, Muridpur in Tamas",NA,NA,NA,NA,NA,NA,Religion,"656",Harnam Singh's wife,Banto,NA,"99",Female,Single,Sikh,Nominal,NA,NA,NA,NA,NA,Present,"Harnam Singh's wife, Banto in Tamas","Ehsan Ali's home, Muridpur",Private,Muslim,Nominal,CREATED,NA,Muridpur,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"1294","1527","32","33"
"171","Sahni, Bhisham",Tamas,"1181","114","115","1","When Harnam Singh knocked again, a woman called out","Ehsan Ali's home, Muridpur in Tamas",NA,NA,NA,NA,NA,NA,Religion,"90",Ali,Akran,NA,"114",Female,Single,Muslim,Other-identified.Character other-attributed,NA,NA,NA,NA,NA,Present,"Ali, Akran in Tamas","Ehsan Ali's home, Muridpur",Private,Muslim,Nominal,CREATED,NA,Muridpur,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"1294","1527","32","33"
"172","Sahni, Bhisham",Tamas,"1181","114","115","1","When Harnam Singh knocked again, a woman called out","Ehsan Ali's home, Muridpur in Tamas",NA,NA,NA,NA,NA,NA,Religion,"93",Ali,Rajo,NA,"114",Female,Single,Muslim,Self-identified,NA,NA,NA,NA,NA,Present,"Ali, Rajo in Tamas","Ehsan Ali's home, Muridpur",Private,Muslim,Nominal,CREATED,NA,Muridpur,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"1294","1527","32","33"
"173","Sahni, Bhisham",Tamas,"1182","115","116","1",The older woman stood up and washed her hands in a pan of water,"Ehsan Ali's home, Muridpur in Tamas",NA,NA,NA,NA,NA,NA,Religion,"93",Ali,Rajo,NA,"114",Female,Single,Muslim,Self-identified,NA,NA,NA,NA,NA,Present,"Ali, Rajo in Tamas","Ehsan Ali's home, Muridpur",Private,Muslim,Nominal,CREATED,NA,Muridpur,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"1294","1527","32","33"
"174","Sahni, Bhisham",Tamas,"1182","115","116","1",The older woman stood up and washed her hands in a pan of water,"Ehsan Ali's home, Muridpur in Tamas",NA,NA,NA,NA,NA,NA,Religion,"141",Singh,Harnam,NA,"99",Male,Single,Sikh,Nominal,NA,NA,NA,NA,NA,Present,"Singh, Harnam in Tamas","Ehsan Ali's home, Muridpur",Private,Muslim,Nominal,CREATED,NA,Muridpur,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"1294","1527","32","33"
"175","Sahni, Bhisham",Tamas,"1182","115","116","1",The older woman stood up and washed her hands in a pan of water,"Ehsan Ali's home, Muridpur in Tamas",NA,NA,NA,NA,NA,NA,Religion,"90",Ali,Akran,NA,"114",Female,Single,Muslim,Other-identified.Character other-attributed,NA,NA,NA,NA,NA,Present,"Ali, Akran in Tamas","Ehsan Ali's home, Muridpur",Private,Muslim,Nominal,CREATED,NA,Muridpur,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"1294","1527","32","33"
"176","Sahni, Bhisham",Tamas,"1182","115","116","1",The older woman stood up and washed her hands in a pan of water,"Ehsan Ali's home, Muridpur in Tamas",NA,NA,NA,NA,NA,NA,Religion,"656",Harnam Singh's wife,Banto,NA,"99",Female,Single,Sikh,Nominal,NA,NA,NA,NA,NA,Present,"Harnam Singh's wife, Banto in Tamas","Ehsan Ali's home, Muridpur",Private,Muslim,Nominal,CREATED,NA,Muridpur,NA,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"1294","1527","32","33"
"177","Singh, Kushwant",Train to Pakistan,"1214","61","61","1",The whole village was on the roofs looking towards,Mano Majra Railway Station in Train to Pakistan,5 Indeterminable,NA,Neither,Other,NA,NA,Nation,"1212",Mano Majra Villagers,Unknown,NA,"61",Unknown,Group,Sikh,Definitional,NA,NA,NA,NA,NA,Present,"Mano Majra Villagers, Unknown in Train to Pakistan",Mano Majra Railway Station,Public,NA,NA,FALSE,NA,Mano Majra Train Station,NA,India,NA,NA,Hadali,Male,Pakistan,2 Feb  1915,"704","5871","26","27"
"178","Sahni, Bhisham",Tamas,"1252","24","25","2",He had left the tonga-driver's mohalla,Committee Park in Tamas,NA,NA,NA,NA,NA,NA,NA,"185",Servant to Murad Ali,Nathu,NA,"13",Male,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,"Servant to Murad Ali, Nathu in Tamas",Committee Park,Public,Unknown,NA,CREATED,NA,Imam Din Gali,FALSE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"828","879","32","33"
"179","Sahni, Bhisham",Tamas,"1254","25","26","1",Nathu entered a narrow gali,Committee Park in Tamas,NA,NA,NA,NA,NA,Religion,Religion|Nation,"185",Servant to Murad Ali,Nathu,NA,"13",Male,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,"Servant to Murad Ali, Nathu in Tamas",Committee Park,Public,Unknown,NA,CREATED,NA,Imam Din Gali,FALSE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"828","879","32","33"
"180","Sahni, Bhisham",Tamas,"1254","25","26","1",Nathu entered a narrow gali,Committee Park in Tamas,NA,NA,NA,NA,NA,Religion,Religion|Nation,"963",Sahib,Mahmud,NA,"25",Male,Single,Muslim,NA,NA,NA,NA,NA,NA,Present,"Sahib, Mahmud in Tamas",Committee Park,Public,Unknown,NA,CREATED,NA,Imam Din Gali,FALSE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"828","879","32","33"
"181","Sahni, Bhisham",Tamas,"1254","25","26","1",Nathu entered a narrow gali,Committee Park in Tamas,NA,NA,NA,NA,NA,Religion,Religion|Nation,"618",Congress Committee secretary,Bakhshi,NA,"17",Male,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,"Congress Committee secretary, Bakhshi in Tamas",Committee Park,Public,Unknown,NA,CREATED,NA,Imam Din Gali,FALSE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"828","879","32","33"
"182","Sahni, Bhisham",Tamas,"1254","25","26","1",Nathu entered a narrow gali,Committee Park in Tamas,NA,NA,NA,NA,NA,Religion,Religion|Nation,"619","Ahmad, Congress Committee Member",Aziz,NA,"17",Male,Single,Muslim,Definitional,NA,NA,NA,NA,NA,Present,"Ahmad, Congress Committee Member, Aziz in Tamas",Committee Park,Public,Unknown,NA,CREATED,NA,Imam Din Gali,FALSE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"828","879","32","33"
"183","Sahni, Bhisham",Tamas,"1254","25","26","1",Nathu entered a narrow gali,Committee Park in Tamas,NA,NA,NA,NA,NA,Religion,Religion|Nation,"965",Congress Committee Member,Hakim Ji,NA,"25",Male,Single,Unknown,NA,NA,NA,NA,NA,NA,Present,"Congress Committee Member, Hakim Ji in Tamas",Committee Park,Public,Unknown,NA,CREATED,NA,Imam Din Gali,FALSE,India,NA,NA,Rawalpindi,Male,Pakistan,8 Aug  1915,"828","879","32","33"
